2026-08-01 09:25:50 | 83_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:25:53 | 47_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:25:54 | 26_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:25:54 | 72_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:25:54 | 70_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:25:54 | 73_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:25:54 | 25_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:25:55 | 54_iPhone_20260731_113824 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:25:55 | 27_iPhone_20260731_113010 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:25:55 | 41_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:25:56 | 31_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:29:50 | 49_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:30:06 | 5_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:30:07 | 75_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:30:07 | 46_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:30:07 | 66_iPhone_20260731_114600 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:30:09 | 34_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:30:09 | 32_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:30:09 | 10_iPhone_20260731_112506 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:30:10 | 61_iPhone_20260731_114600 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:30:12 | 104_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:30:12 | 58_iPhone_20260731_114600 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:30:12 | 28_iPhone_20260731_134152 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:30:12 | 98_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:30:13 | 11_iPhone_20260731_133639 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:33:23 | 59_iPhone_20260731_114600 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:33:33 | 56_iPhone_20260731_114600 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:33:34 | 19_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:33:34 | 30_iPhone | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:33:34 | 57_iPhone_20260731_114600 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
2026-08-01 09:33:35 | 60_iPhone_20260731_114600 | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc B | D:\1 dang chay diem danh\16.7 78acc\16.7 78acc A | BB | move
